url,page_type,cluster,current_indexable,current_noindex,canonical,sitemap_member,http_status,robots_allowed,meta_robots,x_robots,title,h1,word_count,unique_content,duplicate_risk,internal_inlinks,internal_outlinks,crawl_depth,orphan,search_intent,primary_topic,image,schema,gsc_status_if_known,recommended_index_action,reason
/,home,home,yes,no,/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",FabStitch | B2B Fabric Marketplace & Fabric Sourcing,Find fabric that fits your vision.,335,distinct_or_catalog,low,2,16,0,no,brand,FabStitch fabric marketplace,/media/hero-navy-jersey.jpg,Organization|WebSite,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/marketplace/,marketplace,marketplace,yes,no,/marketplace/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",B2B Fabric Marketplace & Fabric Sourcing,Discover fabrics for what comes next.,333,distinct_or_catalog,low,2266,32,1,no,commercial,fabric marketplace,/media/fabrics/cotton-poplin-primary.webp,Organization|CollectionPage,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/,fabric_hub,fabric_hub,yes,no,/fabrics/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Explore Fabrics by Material and Use,"Find the fabric, then read the detail.",314,distinct_or_catalog,low,2266,16,1,no,commercial_investigation,fabric materials,/media/fabrics/european-flax-linen-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabric-sourcing/,commercial_landing,commercial_landing,yes,no,/fabric-sourcing/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fabric Sourcing for Clothing Brands,Fabric sourcing for clothing lines and designers,759,distinct_or_catalog,low,2266,34,1,no,commercial,fabric sourcing,/media/fabrics/european-flax-linen-primary.webp,Organization|CollectionPage|FAQPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/wholesale-fabric/,commercial_landing,commercial_landing,yes,no,/wholesale-fabric/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Wholesale Fabric for Brands & Production,Wholesale fabric for commercial clothing programmes,668,distinct_or_catalog,low,2266,36,1,no,commercial,wholesale fabric,/media/fabrics/cotton-poplin-primary.webp,Organization|CollectionPage|FAQPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/clothing/,intent_hub,intent_hub,yes,no,/fabrics/clothing/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Clothing Fabric for Apparel & Fashion for Apparel,Clothing Fabric for Apparel & Fashion,624,distinct_or_catalog,low,12,39,2,no,commercial_investigation,clothing fabric,/media/fabrics/cotton-poplin-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/apparel/,intent_hub,intent_hub,yes,no,/fabrics/apparel/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Apparel Fabric for Clothing Brands &,Apparel Fabric for Clothing Production,493,distinct_or_catalog,low,7,29,2,no,commercial_investigation,apparel fabric,/media/fabrics/stretch-woven-compression-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/fashion/,intent_hub,intent_hub,yes,no,/fabrics/fashion/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Fashion Fabrics for Designers & Brands Use Notes,Fashion Fabrics for Designers & Brands,480,distinct_or_catalog,low,5,29,2,no,commercial_investigation,fashion fabric,/media/fabrics/silk-chiffon-primary.webp,Organization|CollectionPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/shirt-fabric/,intent_hub,intent_hub,yes,no,/fabrics/shirt-fabric/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls","Shirt Fabric Types, Weaves & Materials Use Notes",Shirt fabric for dress shirts and everyday shirts,541,distinct_or_catalog,low,74,32,2,no,commercial_investigation,shirt fabric,/media/fabrics/cotton-poplin-primary.webp,Organization|CollectionPage|FAQPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/dress-fabric/,intent_hub,intent_hub,yes,no,/fabrics/dress-fabric/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls",Dress Fabric Types for Dressmaking & Apparel,"Fabric for dresses — types, drape and weight",449,distinct_or_catalog,low,112,29,3,no,commercial_investigation,fabric for dresses,/media/fabrics/silk-georgette-primary.webp,Organization|CollectionPage|FAQPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
/fabrics/wool-fabric/,intent_hub,intent_hub,yes,no,/fabrics/wool-fabric/,yes,local_registry_assumed_200,yes,"index,follow","index,follow_on_clean_urls","Wool Fabric for Apparel, Tailoring & Outerwear","Wool fabric for clothing, tailoring and coats",421,distinct_or_catalog,low,4,27,2,no,commercial_investigation,wool fabric,/media/fabrics/tropical-wool-super-110s-130s-primary.webp,Organization|CollectionPage|FAQPage|BreadcrumbList,discovered_not_indexed_bulk_likely,KEEP_INDEXABLE,"Distinct hub, product, guide, question, or commercial page."
