url_a,url_b,cluster_a,cluster_b,similarity_level,shared_topic,shared_sections,unique_information_a,unique_information_b,canonical_a,canonical_b,recommended_action
/discover/topics/material-use/page/2/,/discover/topics/material-use/page/3/,semantic_landing,semantic_landing,moderate_overlap,"shirt, dress & garment fabrics",rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/topics/material-use/page/2/,/discover/topics/material-use/page/3/,KEEP as supporting note; parent hub owns the head term
/discover/topics/material-use/page/3/,/discover/topics/material-use/page/4/,semantic_landing,semantic_landing,moderate_overlap,"shirt, dress & garment fabrics",rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/topics/material-use/page/3/,/discover/topics/material-use/page/4/,KEEP as supporting note; parent hub owns the head term
/discover/topics/material-use/page/4/,/discover/topics/material-use/page/5/,semantic_landing,semantic_landing,moderate_overlap,"shirt, dress & garment fabrics",rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/topics/material-use/page/4/,/discover/topics/material-use/page/5/,KEEP as supporting note; parent hub owns the head term
/discover/topics/material-use/page/5/,/discover/topics/material-use/page/6/,semantic_landing,semantic_landing,moderate_overlap,"shirt, dress & garment fabrics",rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/topics/material-use/page/5/,/discover/topics/material-use/page/6/,KEEP as supporting note; parent hub owns the head term
/discover/topics/material-attribute/page/2/,/discover/topics/material-attribute/page/3/,semantic_landing,semantic_landing,moderate_overlap,material characteristics,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/topics/material-attribute/page/2/,/discover/topics/material-attribute/page/3/,KEEP as supporting note; parent hub owns the head term
/discover/woven-cotton-fabric/,/discover/knit-cotton-fabric/,construction,construction,high_overlap,woven cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-cotton-fabric/,/discover/knit-cotton-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-cotton-fabric/,/discover/knit-french-terry-fabric/,construction,construction,moderate_overlap,knit cotton fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-cotton-fabric/,/discover/knit-french-terry-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-linen-fabric/,/discover/knit-linen-fabric/,construction,construction,high_overlap,woven linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-linen-fabric/,/discover/knit-linen-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/knit-linen-fabric/,/discover/knit-chiffon-fabric/,construction,construction,moderate_overlap,knit linen fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/knit-linen-fabric/,/discover/knit-chiffon-fabric/,KEEP as supporting note; parent hub owns the head term
/discover/woven-silk-fabric/,/discover/knit-silk-fabric/,construction,construction,high_overlap,woven silk fabric,rotated ontology / shared section shape,pairing-specific slice,pairing-specific slice,/discover/woven-silk-fabric/,/discover/knit-silk-fabric/,KEEP as supporting note; parent hub owns the head term
