url,category,page_type,h1,primary_keyword,secondary_keywords,search_intent,word_count,unique_content_score,similarity_risk,canonical,sitemap,incoming_links,outgoing_links,crawl_depth,image_count,alt_status,structured_data,value_class,recommended_action,reason,h2s
/,Other,home,Find fabric that fits your vision.,FabStitch fabric marketplace,fabric discovery; fabric sourcing; fabric materials; textile marketplace,brand,335,100,STRONG DIFFERENTIATION,/,included,2,11,0,1,alt+title,Organization|WebSite,A,KEEP INDEXABLE,No sibling in the same topical cluster. Canonical hub. Keep indexable even where the H1 is a brand line rather than the keyword.,What you can do on FabStitch
/about/,Brand,brand,"Material decisions, made clearer.",about FabStitch,fabric discovery; material sourcing,brand,313,100,STRONG DIFFERENTIATION,/about/,included,1,0,1,0,no-image,Organization|BreadcrumbList,B,KEEP INDEXABLE,"No sibling in the same topical cluster. Useful task or brand page. Length is matched to the task, not padded.",What FabStitch is for
/collections/,Collections,collection_hub,Start with the material.,fabric collections,fabric materials; seasonal fabrics; linen fabrics; cotton fabrics,commercial_investigation,315,100,STRONG DIFFERENTIATION,/collections/,included,1058,15,1,1,alt+title,Organization|CollectionPage|BreadcrumbList,A,KEEP INDEXABLE,No sibling in the same topical cluster. Primary keyword is not reflected in the H1. Canonical hub. Keep indexable even where the H1 is a brand line rather than the keyword.,How collections are organised
/collections/autumn-winter-2027-28/,Collections,seasonal_collection,Autumn / Winter 2027–28 fabrics,Autumn / Winter 2027–28 fabrics,AW Textures; Velvet & Pile; Structured Classics; Technical Outerwear; Denim,commercial_investigation,2799,77,STRONG DIFFERENTIATION,/collections/autumn-winter-2027-28/,included,1,3,2,1,alt+title,Organization|CollectionPage|BreadcrumbList,A,KEEP INDEXABLE,Body stays distinct from the nearest seasonal_collection sibling /collections/spring-summer-2027/ (23% entity-normalized overlap).,
/collections/aw-textures/,Collections,collection,AW Textures fabrics,AW Textures fabrics,Melton; Boiled Wool; Double-Face Wool; Brushed Flannel; Mohair Blend,commercial_investigation,550,67,STRONG DIFFERENTIATION,/collections/aw-textures/,included,7,2,2,1,alt+title,Organization|CollectionPage|BreadcrumbList,B,IMPROVE,Body stays distinct from the nearest collection sibling /collections/linen-lightweight/ (33% entity-normalized overlap). No page-specific H2 stored in the content source.,
/collections/cotton/,Collections,collection,Cotton Fabric for Clothing & Apparel,cotton fabric,Cotton Poplin; Cotton Voile; Cotton Organdy; Cotton Bouclé Yarn; Cotton Seersucker,commercial_investigation,2259,62,STRONG DIFFERENTIATION,/collections/cotton/,included,278,9,2,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,B,IMPROVE,"Body stays distinct from the nearest collection sibling /collections/linen-lightweight/ (38% entity-normalized overlap). Raw uniqueness is 89%. The lower score is from swapping entity names out, so the pages share a template. No page-specific H2 stored in the content source.",
/collections/denim/,Collections,collection,Denim Fabric for Jeans & Apparel,denim fabric,Lightweight Denim; Premium-Weight Denim; Recycled-Cotton Denim; Laser- and Ozone-Finished Denim; Hemp–Cotton Denim,commercial_investigation,489,56,REVIEW,/collections/denim/,included,90,7,2,1,alt+title,Organization|CollectionPage|FAQPage|BreadcrumbList,B,IMPROVE,Partial overlap with /collections/performance/ (44% entity-normalized). Same intent label. No page-specific H2 stored in the content source.,
/collections/home-contract-2027-28/,Collections,seasonal_collection,Home and contract fabrics for 2027–28,Home and contract fabrics for 2027–28,Home & Contract,commercial_investigation,695,88,STRONG DIFFERENTIATION,/collections/home-contract-2027-28/,included,1,0,2,1,alt+title,Organization|CollectionPage|BreadcrumbList,A,KEEP INDEXABLE,Body stays distinct from the nearest seasonal_collection sibling /collections/autumn-winter-2027-28/ (12% entity-normalized overlap).,
/collections/home-contract/,Collections,collection,Home & Contract fabrics,Home & Contract fabrics,Upholstery Bouclé; Heavy Linen Upholstery; Wool Felt Upholstery; Performance Upholstery Weave; Open-Weave Linen Curtain,commercial_investigation,701,69,STRONG DIFFERENTIATION,/collections/home-contract/,included,2,0,2,1,alt+title,Organization|CollectionPage|BreadcrumbList,B,IMPROVE,Body stays distinct from the nearest collection sibling /collections/structured-classics/ (31% entity-normalized overlap). No page-specific H2 stored in the content source.,
/collections/knitwear/,Collections,collection,Knitwear fabrics,Knitwear fabrics,Open-Stitch Knit; Pointelle Knit; Crochet-Effect Knit; Fine-Gauge Semi-Sheer Knit; Cotton Bouclé Knit,commercial_investigation,1140,66,STRONG DIFFERENTIATION,/collections/knitwear/,included,155,1,2,1,alt+title,Organization|CollectionPage|BreadcrumbList,B,IMPROVE,"Body stays distinct from the nearest collection sibling /collections/cotton/ (34% entity-normalized overlap). Raw uniqueness is 89%. The lower score is from swapping entity names out, so the pages share a template. No page-specific H2 stored in the content source.",
