url,page_type,cluster,content_purpose,primary_topic,secondary_topics,search_intent,h1,h2_summary,word_count,unique_body_content_estimate,similarity_risk,canonical,indexable,sitemap_eligible,image,image_relevance,image_alt,internal_inlinks,internal_outlinks,crawl_depth,schema_type,value_class,recommended_action
/,home,home,Support discovery inside the fabric catalog.,FabStitch fabric marketplace,fabric discovery; fabric sourcing; fabric materials; textile marketplace,brand,Find fabric that fits your vision.,,335,70,strong,/,true,true,/media/hero-navy-jersey.jpg,catalog photograph for the material or garment family,"Navy jersey knit fabric with a close, even surface",10,10,0,Organization|WebSite,A,KEEP
/marketplace/,marketplace,marketplace,Commercial catalog hub.,fabric marketplace,buy fabric; fabric website; where to buy fabric; fabric search; textile sourcing; b2b textile marketplace; textile marketplace; 2027 fabrics,commercial,Discover fabrics for what comes next.,,333,70,strong,/marketplace/,true,true,/media/fabrics/cotton-poplin-primary.webp,catalog photograph for the material or garment family,Crisp fine-count cotton poplin fabric in soft folds,26,26,1,Organization|CollectionPage,A,KEEP
/fabrics/,fabric_hub,fabric_hub,Support discovery inside the fabric catalog.,fabric materials,fabrics; fabric textile material; fabric types; cloth material; source of fabric; sources of fabrics; fabric products,commercial_investigation,"Find the fabric, then read the detail.",,314,70,strong,/fabrics/,true,true,/media/fabrics/european-flax-linen-primary.webp,catalog photograph for the material or garment family,European flax linen with a natural irregular plain weave,9,9,1,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabric-sourcing/,commercial_landing,commercial_landing,Explain wholesale or sourcing workflow.,fabric sourcing,sourcing fabrics; fabric sourcing guide; what is fabric sourcing; how to source fabric; how to source fabric for clothing; where to source fabric; fabric sourcing online; fabric sourcing platform; fabric sourcing process; fabric sourcing for designers; sourcing fabric for clothing line; sourcing fabric for small business; finding fabric for clothing line; where do clothing brands get their fabric; where do fashion designers get their fabric; materials for clothing line; fabric procurement; fabric acquisition; fabric sourcing best practices; fabric sourcing tips,commercial,Fabric sourcing for clothing lines and designers,,759,100,strong,/fabric-sourcing/,true,true,/media/fabrics/european-flax-linen-primary.webp,catalog photograph for the material or garment family,European flax linen with a natural irregular plain weave,28,28,1,Organization|CollectionPage|FAQPage|BreadcrumbList,A,KEEP
/wholesale-fabric/,commercial_landing,commercial_landing,Explain wholesale or sourcing workflow.,wholesale fabric,fabric wholesale; wholesale fabrics; buy fabric wholesale; wholesale fabric suppliers; wholesale fabric online; fabric online wholesale; bulk fabric wholesale; buy bulk fabric; wholesale apparel fabric; wholesale garment fabric; wholesale fashion fabric; wholesale cotton fabric; wholesale fabric by the yard; where to buy wholesale fabric; where can i buy wholesale fabric; wholesale fabric store; online fabric wholesale; fabric bulk; bulk fabrics; how to order fabric wholesale,commercial,Wholesale fabric for commercial clothing programmes,,612,100,strong,/wholesale-fabric/,true,true,/media/fabrics/cotton-poplin-primary.webp,catalog photograph for the material or garment family,Crisp fine-count cotton poplin fabric in soft folds,34,34,1,Organization|CollectionPage|FAQPage|BreadcrumbList,A,KEEP
/fabrics/clothing/,intent_hub,intent_hub,Support discovery inside the fabric catalog.,clothing fabric,fabric for clothes; fabric for clothing; clothing material fabric; clothing fabric material; fabric to make clothes; fabric to make clothing; fabric for clothing making; fabrics and clothes; fabrics and cloth; clothes fabric; clothes fabric material; fabric and clothes,commercial_investigation,Clothing Fabric for Apparel & Fashion,,624,93,strong,/fabrics/clothing/,true,true,/media/fabrics/cotton-poplin-primary.webp,catalog photograph for the material or garment family,Crisp fine-count cotton poplin fabric in soft folds,39,39,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/apparel/,intent_hub,intent_hub,Support discovery inside the fabric catalog.,apparel fabric,fabric apparel; garment fabric; fabric for clothing production; apparel fabric supplier; clothing production fabric,commercial_investigation,Apparel Fabric for Clothing Production,,493,100,strong,/fabrics/apparel/,true,true,/media/fabrics/stretch-woven-compression-primary.webp,catalog photograph for the material or garment family,Dense stretch-woven compression fabric with a fine technical grid,29,29,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/fashion/,intent_hub,intent_hub,Support discovery inside the fabric catalog.,fashion fabric,fashion fabrics; designer fabric; fashion textile; boutique fabric,commercial_investigation,Fashion Fabrics for Designers & Brands,,480,100,strong,/fabrics/fashion/,true,true,/media/fabrics/silk-chiffon-primary.webp,catalog photograph for the material or garment family,Deep burgundy transparent silk chiffon in fluid folds,28,28,2,Organization|CollectionPage|BreadcrumbList,A,KEEP
/fabrics/shirt-fabric/,intent_hub,intent_hub,Support discovery inside the fabric catalog.,shirt fabric,shirt fabrics; shirt material; types of shirt fabric; cotton shirt fabric; dress shirt fabric; shirt fabric weaves; shirt fabric guide; material for shirts; fabrics for dress shirts; best fabric for dress shirt,commercial_investigation,Shirt fabric for dress shirts and everyday shirts,,541,97,strong,/fabrics/shirt-fabric/,true,true,/media/fabrics/cotton-poplin-primary.webp,catalog photograph for the material or garment family,Crisp fine-count cotton poplin fabric in soft folds,28,28,2,Organization|CollectionPage|FAQPage|BreadcrumbList,A,KEEP
/fabrics/dress-fabric/,intent_hub,intent_hub,Support discovery inside the fabric catalog.,fabric for dresses,dress fabric; fabrics for dresses; dress material fabric; types of dress fabric; fabric to make dresses; cotton dress fabric; linen dress fabric; silk dress fabric; lightweight dress fabric; fashion dress fabrics,commercial_investigation,"Fabric for dresses — types, drape and weight",,449,93,strong,/fabrics/dress-fabric/,true,true,/media/fabrics/silk-georgette-primary.webp,catalog photograph for the material or garment family,Muted teal silk georgette with a fine crepe surface,28,28,2,Organization|CollectionPage|FAQPage|BreadcrumbList,A,KEEP
