URL,page_type,cluster,indexable,noindex,canonical,sitemap,title,meta_description,H1,H2s,word_count,meaningful_body_word_count,primary_topic,search_intent,image,image_alt,internal_inlinks,internal_outlinks,crawl_depth,duplicate_risk,page_value,content_grade,redirect_to
/,,,yes,no,/,yes,FabStitch | B2B Fabric Marketplace & Fabric Sourcing,"Discover apparel, fashion, and manufacturing fabrics on FabStitch, a B2B marketplace for sourcing cloth by material and use.",Find fabric that fits your vision.,,335,295,FabStitch fabric marketplace,brand,,,,10,,,supporting,C,
/marketplace/,,,yes,no,/marketplace/,yes,B2B Fabric Marketplace & Fabric Sourcing,"Search FabStitch by material, construction, season, and use, then open a fabric page and inquire on the cloth that fits.",Discover fabrics for what comes next.,,333,293,fabric marketplace,commercial,,,,26,,,supporting,C,
/fabrics/,,,yes,no,/fabrics/,yes,Explore Fabrics by Material and Use,"Browse FabStitch fabrics by collection, construction, and Best For use, then open a page for composition, weight, and care.","Find the fabric, then read the detail.",,314,274,fabric materials,commercial_investigation,,,,9,,,supporting,C,
/fabric-sourcing/,,,yes,no,/fabric-sourcing/,yes,Fabric Sourcing for Clothing Brands,"Learn fabric sourcing for clothing brands and designers — briefs, composition, construction, weight, sampling and inquiry — then explore FabStitch.",Fabric sourcing for clothing lines and designers,,759,719,fabric sourcing,commercial,,,,28,,,high,A,
/wholesale-fabric/,,,yes,no,/wholesale-fabric/,yes,Wholesale Fabric for Brands & Production,"Explore wholesale fabric for brands and bulk programmes. Compare composition, construction and weight, then inquire with commercial quantity on.",Wholesale fabric for commercial clothing programmes,,668,628,wholesale fabric,commercial,,,,34,,,medium,B,
/fabrics/clothing/,,,yes,no,/fabrics/clothing/,yes,Clothing Fabric for Apparel & Fashion for Apparel,"Explore clothing fabric for shirts, dresses, trousers, jackets and coats. Compare composition, construction and weight, then inquire on FabStitch.",Clothing Fabric for Apparel & Fashion,,624,584,clothing fabric,commercial_investigation,,,,39,,,medium,B,
/fabrics/apparel/,,,yes,no,/fabrics/apparel/,yes,Apparel Fabric for Clothing Brands & for Apparel,"Source apparel fabric for brands and manufacturers. Compare documented specs, production use cases and Best For edits, then inquire on FabStitch.",Apparel Fabric for Clothing Production,,493,453,apparel fabric,commercial_investigation,,,,29,,,medium,B,
/fabrics/fashion/,,,yes,no,/fabrics/fashion/,yes,Fashion Fabrics for Designers & Brands Use Notes,"Discover fashion fabrics for designers and brands — drape, texture, sheers, seasonal edits and boutique programmes — then inquire on FabStitch.",Fashion Fabrics for Designers & Brands,,480,440,fashion fabric,commercial_investigation,,,,28,,,medium,B,
/fabrics/shirt-fabric/,,,yes,no,/fabrics/shirt-fabric/,yes,"Shirt Fabric Types, Weaves & Materials Use Notes","Compare shirt fabric types — cotton poplin, linen, twill-ready constructions and dress-shirt materials. Read weave and weight guidance, then inquire on",Shirt fabric for dress shirts and everyday shirts,,541,501,shirt fabric,commercial_investigation,,,,28,,,medium,B,
/fabrics/dress-fabric/,,,yes,no,/fabrics/dress-fabric/,yes,Dress Fabric Types for Dressmaking & Apparel,"Explore fabric for dresses: cotton, linen, silk sheers and fluid constructions. Compare drape, opacity and weight, then inquire on FabStitch.","Fabric for dresses — types, drape and weight",,449,409,fabric for dresses,commercial_investigation,,,,28,,,medium,B,
