keyword,keyword_group,search_intent,target_canonical_url,primary_or_secondary,reason_for_mapping,overlap_risk,recommended_action
fabstitch,fabric_type,Navigational,/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
buy cotton fabric,fabric_type,Commercial,/collections/cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton cloth,fabric_type,Commercial,/collections/cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton fabric,fabric_type,Commercial,/collections/cotton/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton fabric online,fabric_type,Commercial,/collections/cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton fabrics,fabric_type,Commercial,/collections/cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton textile,fabric_type,Commercial,/collections/cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
denim fabric,fabric_type,Commercial,/collections/denim/,primary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
denim fabrics,fabric_type,Commercial,/collections/denim/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
lightweight denim,fabric_type,Commercial,/collections/denim/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
premium denim fabric,fabric_type,Commercial,/collections/denim/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/premium-denim-fabric/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
recycled denim fabric,fabric_type,Commercial,/collections/denim/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
selvedge denim,fabric_type,Commercial,/collections/denim/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
aw textures fabric collection,fabric_type,Commercial,/collections/aw-textures/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
